hash_id,titre,entreprise,lieu,secteur,description,lien,date_scraping,source
ab4edd6e3127952e,Online Data Analyst United States,TELUS Digital,USA,Informatique / Tech,"<p class=""figma-padding-bottom-32 tw-border-b tw-border-[#E3E6E8]"" style=""border-bottom-width: 1px; border-color: rgb(227, 230, 232); --tw-shadow: 0 0 #0000; --tw-ring-inset: ; --tw-ring-offset-width: 0px; --tw-ring-offset-color: #fff; --tw-ring-color: rgb(59 130 246 / .5); --tw-ring-offset-shadow: 0 0 #0000; --tw-ring-shadow: 0 0 #0000; --tw-border-spacing-x: 0; --tw-border-spacing-y: 0; --tw-tra",https://remotive.com/remote-jobs/all-others/online-data-analyst-united-states-2088710,2026-04-26,remotive
507da16d3779643d,Office Assistant,Coalition Technologies ,Worldwide,Informatique / Tech,"<p class=""h3"">WHY YOU SHOULD APPLY:</p>
<p> </p>
<p>Coalition Technologies is devoted to delivering clients the highest quality work while providing our team a fun, thriving, and innovative environment. Along with the opportunity for tremendous career growth and rapid advancement, CT offers:</p>
<ul style="""">
<li style="""">The most competitive profit-sharing bonus plan in the industry, paying up to",https://remotive.com/remote-jobs/marketing/office-assistant-1680495,2026-04-26,remotive
7faf2e487627f2e2,"🇩🇪 Senior/Staff Software Engineer PHP, TS, Rust, Kotlin (m/w/d)",easybill GmbH,Germany,Informatique / Tech,"<p><strong>🇩🇪 This job ad is written in German. 🇩🇪</strong></p>
<p><strong>easybill</strong> ist eine cloudbasierte Rechnungssoftware, die sich durch einfache Anwendung, umfassende Funktionalität und vielfältige Anbindungen über Schnittstellen schon seit mehr als 18 Jahren am Markt behauptet. Aktuell haben wir mehr als 21.000 aktive Kunden und wachsen stetig weiter. Deshalb suchen wir nach einer m",https://remotive.com/remote-jobs/software-development/senior-staff-software-engineer-php-ts-rust-kotlin-m-w-d-2088708,2026-04-26,remotive
8ae2e19805644b72,iOS Developer,nooro,USA,Informatique / Tech,"<p style=""box-sizing: inherit; margin: var(--artdeco-reset-base-margin-zero); padding: var(--artdeco-reset-base-padding-zero); border: var(--artdeco-reset-base-border-zero); vertical-align: var(--artdeco-reset-base-vertical-align-baseline); line-height: 1.5; color: rgba(0, 0, 0, 0.9);""><span style=""box-sizing: inherit; margin: var(--artdeco-reset-base-margin-zero); padding: var(--artdeco-reset-bas",https://remotive.com/remote-jobs/software-development/ios-developer-1956455,2026-04-26,remotive
a8f3f1cac9c2fbb7,Senior Frontend Developer,Sanctuary Computer,"LATAM, Asia",Informatique / Tech,"<p><span style=""color: #050c26;"">We are hiring a contract-based </span><span style=""box-sizing: inherit; --tw-border-spacing-x: 0; --tw-border-spacing-y: 0; --tw-translate-x: 0; --tw-translate-y: 0; --tw-rotate: 0; --tw-skew-x: 0; --tw-skew-y: 0; --tw-scale-x: 1; --tw-scale-y: 1; --tw-scroll-snap-strictness: proximity; --tw-ring-offset-width: 0px; --tw-ring-offset-color: #fff; --tw-ring-color: rgb",https://remotive.com/remote-jobs/software-development/senior-frontend-developer-2088707,2026-04-26,remotive
fb5efd6fce0bcf07,Fullstack Developer (US - ET),Chooose,USA,Informatique / Tech,"<p> </p>
<p>Chooose builds software to enable the lower carbon fuel value chain.</p>
<p>Companies like Delta Air Lines, Cathay Pacific, British Airways, and Microsoft use the Chooose platform to build, operate, and scale their lower carbon fuel programs (typically referred to as Sustainable Aviation Fuel, or SAF), and to advance voluntary and compliance carbon management initiatives.</p>
<p>With o",https://remotive.com/remote-jobs/software-development/fullstack-developer-us-et-2088706,2026-04-26,remotive
4e6b1bc7af1567bc,Online Data Analyst (United States/Spanish speakers),TELUS Digital,USA,Informatique / Tech,"<p style=""border-color: #e5e7eb; --tw-shadow: 0 0 #0000; --tw-ring-offset-width: 0px; --tw-ring-offset-color: #fff; --tw-ring-color: rgb(59 130 246 / .5); --tw-ring-offset-shadow: 0 0 #0000; --tw-ring-shadow: 0 0 #0000; --tw-border-spacing-x: 0; --tw-border-spacing-y: 0; --tw-translate-x: 0; --tw-translate-y: 0; --tw-rotate: 0; --tw-skew-x: 0; --tw-skew-y: 0; --tw-scale-x: 1; --tw-scale-y: 1; --tw",https://remotive.com/remote-jobs/all-others/online-data-analyst-united-states-spanish-speakers-2088704,2026-04-26,remotive
449bf0ab4cfcb628,Freelance Writer,IAPWE,Worldwide,Informatique / Tech,"<p class=""p1"" style=""font-variant-numeric: normal; font-variant-east-asian: normal; font-stretch: normal; line-height: normal; color: #000000;"">Our organization is seeking content writers to create articles and blog posts on a variety of topics.</p>
<p class=""p1"" style=""font-variant-numeric: normal; font-variant-east-asian: normal; font-stretch: normal; line-height: normal; color: #000000;""> </p>
",https://remotive.com/remote-jobs/writing/freelance-writer-1185979,2026-04-26,remotive
e34840f8953ab08e,Copywriter,Coalition Technologies ,Worldwide,Informatique / Tech,"<p class=""h3""> </p>
<div class=""h3"">WHO WE'RE LOOKING FOR</div>
<div class=""h3"">The ideal copywriter has excellent English writing skills and is excited to write high-quality, SEO-driven content that aligns with detailed, client-specific guidelines. Projects most commonly include writing web pages for eCommerce and lead generation business sites such as category pages, product descriptions, and bl",https://remotive.com/remote-jobs/writing/copywriter-1749306,2026-04-26,remotive
b5a3e8a1c07b96d5,Customer Success Team Lead (German Speaking),Filestage,"Europe, EMEA",Informatique / Tech,"<div class=""h1""><strong><span style=""color: #00c261;"">About Filestage</span></strong></div>
<p><span style=""color: #434343;"">Filestage frees people from chaotic approval processes, making work more joyful and productive. From large enterprises to independent agencies, our review and approval platform helps teams share, discuss, and approve all their files, all in one place – including documents, d",https://remotive.com/remote-jobs/customer-service/customer-success-team-lead-german-speaking-2088697,2026-04-26,remotive
471f2163316b546d,Technical Support Operator,KnownHost,USA,Informatique / Tech,"<p style=""text-align: justify;""><strong>THIS IS WHO YOU ARE…</strong></p>
<p>You are our front line in the battle for exceptional customer experience at the 24/7/365 help desk.</p>
<p>Ideally, you have experienced terrible web hosting customer service and have vowed that will never happen on your watch!</p>
<p>You are responsible for seeing that our customers have excellent customer service by doi",https://remotive.com/remote-jobs/customer-service/technical-support-operator-2088696,2026-04-26,remotive
